Indentation

 + User defined profile

+ User defined profile
   Acquisition Rate :	20.0 [Hz]
   Max load :	5.00 	mN
   Loading rate :	3.00 	mN/min
   Pause :	10.0 s
   Max load :	0.50 	mN
   Loading rate :	8.00 	mN/min
   Pause :	90.0 s
   Max load :	0.00 	mN
   Loading rate :	8.00 	mN/min
+ TTX-NHT S/N: 01-05628 settings
   Approach distance : 3000 nm
   Approach speed : 2000 nm/min
   Retract speed : 2001 nm/min
   Dz sensor in fine range
   Stiffness Threshold : 1000 µN/µm
   Spring Compliance : 0.924 mm/N
   Warning: Factory spring compliance
   (Computed: 0.727 mm/N)


Date :11/24/2021
Time :3:10:20 PM

   Method :	Oliver & Pharr

 + Parameters

  Unload Fit [40%,98%]

 + Main results

   HIT=	42.484 	MPa
   EIT=	1.0325 	GPa
   E*=	1.1346 	GPa

 + Hypothesis

   hc out of calibrated range [111 nm, 1466 nm]
   m out of O&P hypothesis
   Poisson's ratio(nu)=	0.30 

 + Additional results

   HVIT=	3.9345 	 Vickers
   nIT=	40.87 %
   Fmax=	4.88 	mN
   hmax=	2366.25 	nm
   S=	0.0142 	mN/nm
   hc=	2115.94 	nm
   hr=	2021.95 	nm
   hp=	-4519.86 	nm
   m=	20.0000 
   Epsilon=	0.73 
   R2=	0.827
   Ap=	114878689.45 	nm²
   Welast=	2032.87 pJ
   Wplast=	2940.75 pJ
   Wtotal=	4973.62 pJ
   Er=	1.1335 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID

0	0	0	0	0
0.05	1.4932	0.0002	0	0
0.1	2.8554	0.0013	0	0
0.15	3.3983	0.0025	0	0
0.2	4.6833	0.0039	0	0
0.25	5.3113	0.0074	0	0
0.3	6.3129	0.006	0	0
0.35	7.1668	0.0059	0	0
0.4	7.837	0.0082	0	0
0.45	8.7898	0.0103	0	0
0.5	9.5487	0.0127	0	0
0.55	11.0127	0.0145	0	0
0.6	12.0365	0.0157	0	0
0.65	12.6354	0.0174	0	0
0.7	13.4553	0.0196	0	0
0.75	14.6479	0.0218	0	0
0.8	16.1892	0.0226	0	0
0.85	16.6971	0.0259	0	0
0.9	18.0953	0.0264	0	1
0.95	19.169	0.028	0	1
1	19.7784	0.0318	0	1
1.05	21.0755	0.0358	0	1
1.1	22.2172	0.0372	0	1
1.15	23.1849	0.0373	0	1
1.2	23.5917	0.0389	0	1
1.25	24.3669	0.0386	0	1
1.3	25.5044	0.0393	0	1
1.35	26.4503	0.0427	0	1
1.4	27.9309	0.0461	0	1
1.45	29.1217	0.0509	0	1
1.5	29.8412	0.052	0	1
1.55	30.4743	0.0528	0	1
1.6	31.5845	0.0535	0	1
1.65	32.8903	0.0563	0	1
1.7	34.3721	0.0613	0	1
1.75	36.1064	0.0633	0	1
1.8	37.3552	0.0662	0	1
1.85	38.6228	0.0675	0	1
1.9	39.7521	0.0692	0	1
1.95	40.9027	0.073	0	1
2	42.5368	0.0746	0	1
2.05	43.5963	0.0787	0	1
2.1	44.6353	0.0817	0	1
2.15	45.6992	0.0823	0	1
2.2	46.8457	0.086	0	1
2.25	48.184	0.0887	0	1
2.3	49.2527	0.0919	0	1
2.35	50.403	0.0952	0	1
2.4	50.9976	0.0959	0	1
2.45	51.9901	0.0975	0	1
2.5	53.4849	0.0989	0	1
2.55	54.958	0.103	0	1
2.6	56.3117	0.1064	0	1
2.65	57.458	0.1085	0	1
2.7	58.9171	0.1128	0	1
2.75	59.8011	0.1151	0	1
2.8	60.4188	0.1148	0	1
2.85	61.4106	0.1163	0	1
2.9	62.615	0.1187	0	1
2.95	64.2996	0.1219	0	1
3	65.6587	0.1257	0	1
3.05	67.0063	0.1279	0	1
3.1	67.9614	0.1315	0	1
3.15	68.9646	0.132	0	1
3.2	70.7343	0.1335	0	1
3.25	71.9722	0.1394	0	1
3.3	73.4416	0.1418	0	1
3.35	74.5461	0.1444	0	1
3.4	75.2826	0.1476	0	1
3.45	76.2933	0.1487	0	1
3.5	76.9719	0.1511	0	1
3.55	77.9895	0.1542	0	1
3.6	79.0492	0.1566	0	1
3.65	80.4545	0.1596	0	1
3.7	81.6869	0.1591	0	1
3.75	82.6639	0.1586	0	1
3.8	84.5472	0.1647	0	1
